,rft,thresh_0.0,thresh_1.0,thresh_2.0,absolute_difference_0.0,absolute_difference_1.0,absolute_difference_2.0,perc_brainvox_0.0,perc_brainvox_1.0,perc_brainvox_2.0,perc_brainvox_rft,perc_difference_0.0,perc_difference_1.0,perc_difference_2.0
TASK07_CON47_groupB_tstat1.nii.gz,96676,228280,172834,123735,131604,76158,27059,0.9991115313,0.7564413983,0.5415501372,0.423121195,0.5759903363,0.3333202033,0.1184289422
TASK07_CON48_groupA_tstat1.nii.gz,83072,228349,166982,115370,145277,83910,32298,0.9994135231,0.7308289895,0.5049390983,0.3635806603,0.6358328628,0.3672483292,0.141358438
TASK07_CON48_groupB_tstat1.nii.gz,91082,228280,171697,122948,137198,80615,31866,0.9991115313,0.7514650981,0.5381056796,0.3986379731,0.6004735582,0.352827125,0.1394677066
TASK07_CON49_groupA_tstat1.nii.gz,35051,228349,123668,54206,193298,88617,19155,0.9994135231,0.5412568988,0.2372430334,0.1534074745,0.8460060486,0.3878494242,0.0838355589
TASK07_CON49_groupB_tstat1.nii.gz,35412,228280,121709,53058,192868,86297,17646,0.9991115313,0.5326829567,0.2322185896,0.1549874608,0.8441240705,0.3776954959,0.0772311288
TASK07_CON50_groupA_tstat1.nii.gz,25160,228349,122585,54808,203189,97425,29648,0.9994135231,0.53651694,0.2398778027,0.1101176017,0.8892959214,0.4263993382,0.129760201
TASK07_CON50_groupB_tstat1.nii.gz,11754,228280,116962,52685,216526,105208,40931,0.9991115313,0.5119067939,0.230586083,0.0514436523,0.947667879,0.4604631417,0.1791424307
TASK07_CON51_groupA_tstat1.nii.gz,26654,228349,136076,65263,201695,109422,38609,0.9994135231,0.5955629084,0.2856361305,0.1166563814,0.8827571417,0.478906527,0.168979749
TASK07_CON51_groupB_tstat1.nii.gz,39101,228280,127867,61152,189179,88766,22051,0.9991115313,0.5596346336,0.2676435446,0.1711330821,0.8279784492,0.3885015515,0.0965104625
TASK07_CON52_groupA_tstat1.nii.gz,15489,228349,119260,49256,212860,103771,33767,0.9994135231,0.521964435,0.2155784019,0.0677906015,0.9316229216,0.4541738335,0.1477878004
TASK07_CON52_groupB_tstat1.nii.gz,15933,228280,114809,47672,212347,98876,31739,0.9991115313,0.5024837734,0.2086457198,0.0697338533,0.929377678,0.4327499201,0.1389118665
